"samplesize","run","Num_Round","LearningRate","Accuracy","AUC","Concordance"
5000,1,100,0.005,0.7068,0.770244,0.770244
5000,1,100,0.01,0.7062,0.77252832,0.77252816
5000,1,100,0.03,0.7108,0.7764228,0.77642272
5000,1,100,0.05,0.7088,0.78335552,0.78335552
5000,1,100,0.07,0.7158,0.78655888,0.78655888
5000,1,100,0.1,0.7212,0.78652016,0.78652016
5000,1,200,0.005,0.7068,0.7715312,0.7715312
5000,1,200,0.01,0.7098,0.7735996,0.77359952
5000,1,200,0.03,0.7234,0.7940956,0.79409552
5000,1,200,0.05,0.6856,0.76729528,0.7672952
5000,1,200,0.07,0.712,0.79914408,0.799144
5000,1,200,0.1,0.7272,0.79691264,0.79691264
5000,1,300,0.005,0.7076,0.7724584,0.7724584
5000,1,300,0.01,0.708,0.77711584,0.77711584
5000,1,300,0.03,0.7368,0.7987768,0.7987768
5000,1,300,0.05,0.7118,0.79050112,0.79050112
5000,1,300,0.07,0.7158,0.78985432,0.78985424
5000,1,300,0.1,0.7244,0.79801232,0.79801232
5000,1,400,0.005,0.7138,0.78379912,0.78379904
5000,1,400,0.01,0.7192,0.79238256,0.79238256
5000,1,400,0.03,0.737,0.80989184,0.80989184
5000,1,400,0.05,0.7324,0.80560768,0.80560752
5000,1,400,0.07,0.7372,0.80589552,0.80589552
5000,1,400,0.1,0.5652,0.79418688,0.79418688
5000,1,500,0.005,0.7164,0.78370072,0.78370064
5000,1,500,0.01,0.73,0.80150952,0.80150944
5000,1,500,0.03,0.6592,0.77916504,0.77916496
5000,1,500,0.05,0.7388,0.80746768,0.80746768
5000,1,500,0.07,0.7616,0.83054656,0.83054656
5000,1,500,0.1,0.773,0.82957592,0.82956672
5000,2,100,0.005,0.709,0.776368,0.776368
5000,2,100,0.01,0.7102,0.77726752,0.77726752
5000,2,100,0.03,0.7136,0.78183496,0.78183488
5000,2,100,0.05,0.7168,0.78626848,0.78626832
5000,2,100,0.07,0.7254,0.78423184,0.78423184
5000,2,100,0.1,0.7004,0.77995896,0.77995888
5000,2,200,0.005,0.7138,0.77689832,0.77689824
5000,2,200,0.01,0.7166,0.78186592,0.78186592
5000,2,200,0.03,0.7236,0.79524976,0.79524976
5000,2,200,0.05,0.7104,0.77761472,0.77761472
5000,2,200,0.07,0.7072,0.77526816,0.77526816
5000,2,200,0.1,0.7322,0.79386744,0.79386736
5000,2,300,0.005,0.7158,0.78366368,0.78366368
5000,2,300,0.01,0.7164,0.78990224,0.78990224
5000,2,300,0.03,0.7192,0.79763472,0.79763472
5000,2,300,0.05,0.7284,0.79879792,0.79879792
5000,2,300,0.07,0.7304,0.80335336,0.80335328
5000,2,300,0.1,0.7268,0.79111792,0.79111792
5000,2,400,0.005,0.7162,0.78186712,0.78186704
5000,2,400,0.01,0.7196,0.7925336,0.7925336
5000,2,400,0.03,0.7228,0.79720656,0.79720656
5000,2,400,0.05,0.7328,0.80481144,0.80481136
5000,2,400,0.07,0.7216,0.802636,0.802636
5000,2,400,0.1,0.7644,0.82674368,0.82674304
5000,2,500,0.005,0.7182,0.78883984,0.78883984
5000,2,500,0.01,0.7276,0.79880288,0.79880288
5000,2,500,0.03,0.7256,0.798326,0.79832592
5000,2,500,0.05,0.7438,0.81337056,0.81337056
5000,2,500,0.07,0.7622,0.83465304,0.83465296
5000,2,500,0.1,0.76,0.841288,0.8412536
5000,3,100,0.005,0.7118,0.77220096,0.77220096
5000,3,100,0.01,0.7106,0.7729152,0.7729152
5000,3,100,0.03,0.7154,0.77432,0.77432
5000,3,100,0.05,0.7098,0.77151624,0.77151616
5000,3,100,0.07,0.7044,0.77368192,0.77368192
5000,3,100,0.1,0.7088,0.7806724,0.78067232
5000,3,200,0.005,0.709,0.77282928,0.77282928
5000,3,200,0.01,0.7144,0.77563528,0.7756352
5000,3,200,0.03,0.7088,0.77945728,0.77945728
5000,3,200,0.05,0.722,0.78644728,0.7864472
5000,3,200,0.07,0.71,0.77699472,0.77699472
5000,3,200,0.1,0.713,0.77654672,0.77654656
5000,3,300,0.005,0.714,0.77467424,0.77467424
5000,3,300,0.01,0.719,0.77892592,0.77892576
5000,3,300,0.03,0.7176,0.79075792,0.79075792
5000,3,300,0.05,0.725,0.78699616,0.78699616
5000,3,300,0.07,0.7302,0.78872848,0.78872848
5000,3,300,0.1,0.7178,0.7862152,0.7862152
5000,3,400,0.005,0.7132,0.77396912,0.77396912
5000,3,400,0.01,0.7176,0.785088,0.785088
5000,3,400,0.03,0.7262,0.79415336,0.79415328
5000,3,400,0.05,0.7246,0.79585064,0.79585056
5000,3,400,0.07,0.7216,0.78362416,0.78362416
5000,3,400,0.1,0.7392,0.79576448,0.79576448
5000,3,500,0.005,0.7096,0.77670208,0.77670208
5000,3,500,0.01,0.7194,0.78692056,0.78692048
5000,3,500,0.03,0.7388,0.80710712,0.80710704
5000,3,500,0.05,0.7446,0.81888536,0.81888528
5000,3,500,0.07,0.7558,0.81944928,0.81944928
5000,3,500,0.1,0.7366,0.84759792,0.84759792
6000,1,100,0.005,0.711666666666667,0.772037111111111,0.772037111111111
6000,1,100,0.01,0.716166666666667,0.776302,0.776302
6000,1,100,0.03,0.714666666666667,0.781087111111111,0.781087111111111
6000,1,100,0.05,0.713333333333333,0.783231222222222,0.783231222222222
6000,1,100,0.07,0.717,0.785655222222222,0.785655222222222
6000,1,100,0.1,0.704833333333333,0.774922111111111,0.774921777777778
6000,1,200,0.005,0.714,0.778266166666667,0.778266111111111
6000,1,200,0.01,0.715,0.784479277777778,0.784479222222222
6000,1,200,0.03,0.719333333333333,0.786328666666667,0.786328666666667
6000,1,200,0.05,0.723166666666667,0.788295388888889,0.788295333333333
6000,1,200,0.07,0.709,0.788823833333333,0.788823777777778
6000,1,200,0.1,0.715,0.785050166666667,0.785050111111111
6000,1,300,0.005,0.716666666666667,0.783813222222222,0.783813222222222
6000,1,300,0.01,0.708666666666667,0.783320777777778,0.783320777777778
6000,1,300,0.03,0.723,0.787835944444444,0.787835888888889
6000,1,300,0.05,0.722666666666667,0.799709222222222,0.799709111111111
6000,1,300,0.07,0.721,0.788974611111111,0.788974555555556
6000,1,300,0.1,0.703833333333333,0.766270444444444,0.766270444444444
6000,1,400,0.005,0.711833333333333,0.784866222222222,0.784866222222222
6000,1,400,0.01,0.7225,0.791345444444444,0.791345444444444
6000,1,400,0.03,0.736,0.8041345,0.804134444444444
6000,1,400,0.05,0.7325,0.800686444444444,0.800686444444444
6000,1,400,0.07,0.745833333333333,0.804593388888889,0.804593222222222
6000,1,400,0.1,0.693833333333333,0.788067777777778,0.788067777777778
6000,1,500,0.005,0.720166666666667,0.788617333333333,0.788617333333333
6000,1,500,0.01,0.722166666666667,0.795168,0.795168
6000,1,500,0.03,0.723,0.810600111111111,0.810600111111111
6000,1,500,0.05,0.733833333333333,0.808801666666667,0.808801666666667
6000,1,500,0.07,0.732166666666667,0.792491444444444,0.792491444444444
6000,1,500,0.1,0.73,0.781128555555556,0.781128555555556
6000,2,100,0.005,0.709333333333333,0.775416055555556,0.775416
6000,2,100,0.01,0.711833333333333,0.778893,0.778893
6000,2,100,0.03,0.710666666666667,0.784104444444444,0.784104444444444
6000,2,100,0.05,0.708833333333333,0.779568055555556,0.779568
6000,2,100,0.07,0.716166666666667,0.786864555555556,0.786864555555556
6000,2,100,0.1,0.709833333333333,0.781567055555556,0.781567
6000,2,200,0.005,0.717333333333333,0.780065444444444,0.780065444444444
6000,2,200,0.01,0.715166666666667,0.783274111111111,0.783274111111111
6000,2,200,0.03,0.714166666666667,0.786628222222222,0.786628222222222
6000,2,200,0.05,0.7125,0.787141333333333,0.787141222222222
6000,2,200,0.07,0.716,0.792335555555556,0.792335555555556
6000,2,200,0.1,0.724,0.785686333333333,0.785686333333333
6000,2,300,0.005,0.720333333333333,0.783197388888889,0.783197333333333
6000,2,300,0.01,0.719166666666667,0.785971166666667,0.785971111111111
6000,2,300,0.03,0.7225,0.790336888888889,0.790336888888889
6000,2,300,0.05,0.6885,0.783597777777778,0.783597666666667
6000,2,300,0.07,0.704,0.774309611111111,0.774309555555556
6000,2,300,0.1,0.7195,0.796179666666667,0.796179666666667
6000,2,400,0.005,0.716,0.783958555555556,0.783958555555556
6000,2,400,0.01,0.721333333333333,0.791178611111111,0.791178555555556
6000,2,400,0.03,0.720333333333333,0.791248111111111,0.791248111111111
6000,2,400,0.05,0.7465,0.813218388888889,0.813218333333333
6000,2,400,0.07,0.7205,0.789433611111111,0.789433555555556
6000,2,400,0.1,0.728166666666667,0.801798833333333,0.801798777777778
6000,2,500,0.005,0.7135,0.785652333333333,0.785652333333333
6000,2,500,0.01,0.720666666666667,0.787832611111111,0.787832555555556
6000,2,500,0.03,0.725166666666667,0.798028888888889,0.798028888888889
6000,2,500,0.05,0.735666666666667,0.800928666666667,0.800928666666667
6000,2,500,0.07,0.694,0.806600222222222,0.806600111111111
6000,2,500,0.1,0.737166666666667,0.807509888888889,0.807509888888889
6000,3,100,0.005,0.709666666666667,0.774106,0.774106
6000,3,100,0.01,0.709833333333333,0.774613166666667,0.774613111111111
6000,3,100,0.03,0.711333333333333,0.7811235,0.781123444444444
6000,3,100,0.05,0.704333333333333,0.782573111111111,0.782573111111111
6000,3,100,0.07,0.706333333333333,0.7786125,0.778612444444444
6000,3,100,0.1,0.655166666666667,0.772656666666667,0.772656666666667
6000,3,200,0.005,0.709166666666667,0.775822666666667,0.775822666666667
6000,3,200,0.01,0.709166666666667,0.779965722222222,0.779965666666667
6000,3,200,0.03,0.710166666666667,0.787468166666667,0.787468111111111
6000,3,200,0.05,0.719166666666667,0.790543777777778,0.790543666666667
6000,3,200,0.07,0.693833333333333,0.779095722222222,0.779095666666667
6000,3,200,0.1,0.715333333333333,0.778882277777778,0.778882222222222
6000,3,300,0.005,0.71,0.775384833333333,0.775384777777778
6000,3,300,0.01,0.711833333333333,0.786048833333333,0.786048777777778
6000,3,300,0.03,0.724166666666667,0.793156777777778,0.793156777777778
6000,3,300,0.05,0.694166666666667,0.774198777777778,0.774198777777778
6000,3,300,0.07,0.701,0.792467055555556,0.792467
6000,3,300,0.1,0.6475,0.780316333333333,0.780316333333333
6000,3,400,0.005,0.712666666666667,0.780015888888889,0.780015888888889
6000,3,400,0.01,0.7115,0.785523666666667,0.785523666666667
6000,3,400,0.03,0.723333333333333,0.794006333333333,0.794006333333333
6000,3,400,0.05,0.719666666666667,0.793918222222222,0.793918222222222
6000,3,400,0.07,0.723166666666667,0.791270333333333,0.791270333333333
6000,3,400,0.1,0.705666666666667,0.754246333333333,0.754246333333333
6000,3,500,0.005,0.713666666666667,0.781383333333333,0.781383333333333
6000,3,500,0.01,0.715,0.791617111111111,0.791617111111111
6000,3,500,0.03,0.720666666666667,0.790434444444444,0.790434444444444
6000,3,500,0.05,0.7375,0.810654944444444,0.810654555555556
6000,3,500,0.07,0.725333333333333,0.791080444444444,0.791080444444444
6000,3,500,0.1,0.744166666666667,0.817274,0.817274
7000,1,100,0.005,0.708571428571429,0.778153428571429,0.778153387755102
7000,1,100,0.01,0.711,0.780944530612245,0.780944489795918
7000,1,100,0.03,0.719714285714286,0.787068734693878,0.787068734693878
7000,1,100,0.05,0.714,0.778884897959184,0.778884897959184
7000,1,100,0.07,0.695142857142857,0.78390187755102,0.78390187755102
7000,1,100,0.1,0.714714285714286,0.783205387755102,0.783205224489796
7000,1,200,0.005,0.713142857142857,0.783219183673469,0.783219183673469
7000,1,200,0.01,0.715428571428571,0.785751551020408,0.785751346938775
7000,1,200,0.03,0.717714285714286,0.789885959183673,0.789885959183673
7000,1,200,0.05,0.729285714285714,0.796335836734694,0.796335673469388
7000,1,200,0.07,0.720285714285714,0.787279387755102,0.787279346938776
7000,1,200,0.1,0.700571428571429,0.779032326530612,0.779032326530612
7000,1,300,0.005,0.713714285714286,0.785141673469388,0.785141632653061
7000,1,300,0.01,0.72,0.789838367346939,0.789838285714286
7000,1,300,0.03,0.718571428571429,0.783489591836735,0.783489551020408
7000,1,300,0.05,0.743571428571429,0.810963918367347,0.810963918367347
7000,1,300,0.07,0.721714285714286,0.794020571428571,0.794020571428571
7000,1,300,0.1,0.706428571428571,0.748356040816327,0.748356
7000,1,400,0.005,0.717571428571429,0.78855412244898,0.78855412244898
7000,1,400,0.01,0.728142857142857,0.796099428571429,0.796099428571429
7000,1,400,0.03,0.740428571428571,0.810111265306122,0.810111265306122
7000,1,400,0.05,0.728285714285714,0.808023183673469,0.808023102040816
7000,1,400,0.07,0.720142857142857,0.787656408163265,0.787656408163265
7000,1,400,0.1,0.749714285714286,0.820446163265306,0.820439346938776
7000,1,500,0.005,0.720428571428571,0.790404408163265,0.790404408163265
7000,1,500,0.01,0.719714285714286,0.799231591836735,0.799231510204082
7000,1,500,0.03,0.735571428571429,0.803139306122449,0.803139265306122
7000,1,500,0.05,0.730857142857143,0.803250285714286,0.803250285714286
7000,1,500,0.07,0.747285714285714,0.810740979591837,0.810740979591837
7000,1,500,0.1,0.729,0.790055918367347,0.790055836734694
7000,2,100,0.005,0.710142857142857,0.774889020408163,0.774888979591837
7000,2,100,0.01,0.708142857142857,0.776648326530612,0.776648326530612
7000,2,100,0.03,0.713857142857143,0.782370979591837,0.78237093877551
7000,2,100,0.05,0.717428571428571,0.783514612244898,0.783514612244898
7000,2,100,0.07,0.715285714285714,0.784961469387755,0.784961469387755
7000,2,100,0.1,0.714714285714286,0.784676734693878,0.784676653061224
7000,2,200,0.005,0.711,0.778303428571429,0.778303428571429
7000,2,200,0.01,0.712857142857143,0.781273959183673,0.781273959183673
7000,2,200,0.03,0.721714285714286,0.789966816326531,0.789966775510204
7000,2,200,0.05,0.705857142857143,0.77888012244898,0.778880081632653
7000,2,200,0.07,0.715571428571429,0.786034530612245,0.786034530612245
7000,2,200,0.1,0.725571428571429,0.782343020408163,0.782343020408163
7000,2,300,0.005,0.713714285714286,0.781230040816327,0.781230040816327
7000,2,300,0.01,0.720571428571429,0.78775906122449,0.787759020408163
7000,2,300,0.03,0.718428571428571,0.791231387755102,0.791231346938776
7000,2,300,0.05,0.716571428571429,0.793595632653061,0.793595591836735
7000,2,300,0.07,0.727857142857143,0.790477632653061,0.790477551020408
7000,2,300,0.1,0.714857142857143,0.786389591836735,0.786389551020408
7000,2,400,0.005,0.715857142857143,0.782994081632653,0.782994040816327
7000,2,400,0.01,0.720714285714286,0.787604448979592,0.787604326530612
7000,2,400,0.03,0.728285714285714,0.793591755102041,0.793591755102041
7000,2,400,0.05,0.715714285714286,0.795754204081633,0.795754204081633
7000,2,400,0.07,0.727857142857143,0.789474571428571,0.789474530612245
7000,2,400,0.1,0.728142857142857,0.803706448979592,0.803706448979592
7000,2,500,0.005,0.716,0.787198734693878,0.787198693877551
7000,2,500,0.01,0.719142857142857,0.792531918367347,0.792531918367347
7000,2,500,0.03,0.712571428571429,0.780405510204082,0.780405387755102
7000,2,500,0.05,0.731142857142857,0.798989306122449,0.798989306122449
7000,2,500,0.07,0.741857142857143,0.817322612244898,0.817322612244898
7000,2,500,0.1,0.730714285714286,0.802086857142857,0.802068653061224
7000,3,100,0.005,0.694857142857143,0.756612285714286,0.756612244897959
7000,3,100,0.01,0.695571428571429,0.756883387755102,0.756883346938775
7000,3,100,0.03,0.695428571428571,0.761057755102041,0.761057714285714
7000,3,100,0.05,0.698142857142857,0.766022408163265,0.766022367346939
7000,3,100,0.07,0.696428571428571,0.765545306122449,0.765545224489796
7000,3,100,0.1,0.696571428571429,0.761617183673469,0.76161706122449
7000,3,200,0.005,0.695,0.75717212244898,0.757172081632653
7000,3,200,0.01,0.697857142857143,0.75990387755102,0.759903755102041
7000,3,200,0.03,0.708428571428571,0.777641428571429,0.777641306122449
7000,3,200,0.05,0.697428571428571,0.754488285714286,0.754488244897959
7000,3,200,0.07,0.668571428571429,0.770898326530612,0.770898204081633
7000,3,200,0.1,0.704714285714286,0.768793632653061,0.768793551020408
7000,3,300,0.005,0.694285714285714,0.757916244897959,0.757916163265306
7000,3,300,0.01,0.703857142857143,0.770492775510204,0.770492734693878
7000,3,300,0.03,0.711714285714286,0.781570571428571,0.781570530612245
7000,3,300,0.05,0.717428571428571,0.78410706122449,0.784107020408163
7000,3,300,0.07,0.704285714285714,0.78610187755102,0.786101795918367
7000,3,300,0.1,0.693571428571429,0.759296530612245,0.759296489795918
7000,3,400,0.005,0.696428571428571,0.757701183673469,0.757701142857143
7000,3,400,0.01,0.707571428571429,0.775242367346939,0.775242285714286
7000,3,400,0.03,0.704714285714286,0.77565212244898,0.775652081632653
7000,3,400,0.05,0.717285714285714,0.789530408163265,0.789530367346939
7000,3,400,0.07,0.674857142857143,0.76853387755102,0.768533714285714
7000,3,400,0.1,0.680571428571429,0.792303714285714,0.792303183673469
7000,3,500,0.005,0.705857142857143,0.771309306122449,0.771309224489796
7000,3,500,0.01,0.711142857142857,0.783487755102041,0.783487673469388
7000,3,500,0.03,0.729,0.797459959183674,0.797459918367347
7000,3,500,0.05,0.723,0.78983987755102,0.789839755102041
7000,3,500,0.07,0.702571428571429,0.775687959183674,0.775687918367347
7000,3,500,0.1,0.639142857142857,0.785989714285714,0.785988571428571
8000,1,100,0.005,0.70225,0.77424959375,0.7742495
8000,1,100,0.01,0.703125,0.77543834375,0.7754383125
8000,1,100,0.03,0.706125,0.7792014375,0.779201375
8000,1,100,0.05,0.70925,0.78105478125,0.7810546875
8000,1,100,0.07,0.70525,0.77688296875,0.776882875
8000,1,100,0.1,0.704625,0.77755309375,0.7775530625
8000,1,200,0.005,0.707125,0.77743521875,0.777435125
8000,1,200,0.01,0.706875,0.77973521875,0.779735125
8000,1,200,0.03,0.709875,0.78528134375,0.7852813125
8000,1,200,0.05,0.718625,0.78797625,0.7879761875
8000,1,200,0.07,0.706625,0.77912653125,0.7791265
8000,1,200,0.1,0.710125,0.77966671875,0.7796666875
8000,1,300,0.005,0.707,0.77953165625,0.779531625
8000,1,300,0.01,0.7065,0.78072121875,0.7807211875
8000,1,300,0.03,0.7045,0.78303075,0.7830306875
8000,1,300,0.05,0.708375,0.77206915625,0.772069125
8000,1,300,0.07,0.725375,0.79309471875,0.793094625
8000,1,300,0.1,0.712375,0.78752409375,0.7875240625
8000,1,400,0.005,0.705375,0.779850125,0.77985
8000,1,400,0.01,0.70975,0.7820760625,0.782076
8000,1,400,0.03,0.715375,0.787183125,0.7871830625
8000,1,400,0.05,0.717875,0.794667125,0.7946670625
8000,1,400,0.07,0.672,0.76751190625,0.7675118125
8000,1,400,0.1,0.721,0.7896156875,0.789615625
8000,1,500,0.005,0.707625,0.78079446875,0.7807944375
8000,1,500,0.01,0.7115,0.78435096875,0.784350875
8000,1,500,0.03,0.7135,0.797774125,0.7977740625
8000,1,500,0.05,0.70375,0.79100321875,0.7910031875
8000,1,500,0.07,0.73275,0.812197625,0.8121974375
8000,1,500,0.1,0.710375,0.76713375,0.7671336875
8000,2,100,0.005,0.695875,0.76281340625,0.762813375
8000,2,100,0.01,0.70175,0.768229125,0.768229125
8000,2,100,0.03,0.695375,0.77323103125,0.773231
8000,2,100,0.05,0.7025,0.77021025,0.77021025
8000,2,100,0.07,0.694,0.7660708125,0.7660708125
8000,2,100,0.1,0.69375,0.7649048125,0.76490475
8000,2,200,0.005,0.703625,0.76922434375,0.7692243125
8000,2,200,0.01,0.7005,0.77228759375,0.7722875625
8000,2,200,0.03,0.709625,0.78016640625,0.780166375
8000,2,200,0.05,0.709375,0.7807173125,0.7807173125
8000,2,200,0.07,0.712,0.77891521875,0.7789151875
8000,2,200,0.1,0.704375,0.77389165625,0.7738915625
8000,2,300,0.005,0.701875,0.77106509375,0.771065
8000,2,300,0.01,0.70675,0.776679875,0.776679875
8000,2,300,0.03,0.716375,0.78186715625,0.781867125
8000,2,300,0.05,0.707125,0.77866059375,0.7786605625
8000,2,300,0.07,0.708,0.78451690625,0.784516875
8000,2,300,0.1,0.71975,0.78728021875,0.7872801875
8000,2,400,0.005,0.698125,0.77173825,0.77173825
8000,2,400,0.01,0.712625,0.780131,0.780131
8000,2,400,0.03,0.72075,0.78838084375,0.7883808125
8000,2,400,0.05,0.713625,0.78136646875,0.7813664375
8000,2,400,0.07,0.712375,0.78001096875,0.7800109375
8000,2,400,0.1,0.518,0.76434928125,0.764349125
8000,2,500,0.005,0.70825,0.7769710625,0.7769710625
8000,2,500,0.01,0.714125,0.7820210625,0.782021
8000,2,500,0.03,0.72525,0.7919975,0.7919975
8000,2,500,0.05,0.721375,0.79000240625,0.790002375
8000,2,500,0.07,0.716875,0.78754303125,0.7875429375
8000,2,500,0.1,0.717625,0.77898815625,0.778988125
8000,3,100,0.005,0.70725,0.77594534375,0.7759453125
8000,3,100,0.01,0.7075,0.78088334375,0.7808833125
8000,3,100,0.03,0.71125,0.78700796875,0.7870079375
8000,3,100,0.05,0.70575,0.7878160625,0.7878160625
8000,3,100,0.07,0.711125,0.786994625,0.786994625
8000,3,100,0.1,0.705125,0.78921684375,0.7892168125
8000,3,200,0.005,0.706,0.78291178125,0.78291175
8000,3,200,0.01,0.709375,0.7883050625,0.7883050625
8000,3,200,0.03,0.7055,0.785789,0.785789
8000,3,200,0.05,0.713125,0.791504125,0.791504125
8000,3,200,0.07,0.698625,0.7831791875,0.783179125
8000,3,200,0.1,0.727375,0.795774,0.795773875
8000,3,300,0.005,0.711875,0.78683884375,0.7868388125
8000,3,300,0.01,0.71575,0.790128875,0.790128875
8000,3,300,0.03,0.717125,0.793898375,0.793898375
8000,3,300,0.05,0.69625,0.78903390625,0.789033875
8000,3,300,0.07,0.71975,0.79707359375,0.7970735625
8000,3,300,0.1,0.731625,0.801726875,0.801726875
8000,3,400,0.005,0.7155,0.79105303125,0.791053
8000,3,400,0.01,0.719875,0.79356025,0.7935601875
8000,3,400,0.03,0.728625,0.802471125,0.802471125
8000,3,400,0.05,0.7305,0.8025421875,0.8025421875
8000,3,400,0.07,0.726,0.80803459375,0.8080345625
8000,3,400,0.1,0.694,0.758298375,0.7582983125
8000,3,500,0.005,0.716875,0.7911955,0.7911955
8000,3,500,0.01,0.714,0.795153,0.795153
8000,3,500,0.03,0.7295,0.79786371875,0.7978636875
8000,3,500,0.05,0.70125,0.79857321875,0.7985731875
8000,3,500,0.07,0.735125,0.816693625,0.816693625
8000,3,500,0.1,0.72125,0.79273125,0.792731
9000,1,100,0.005,0.708444444444444,0.775835012345679,0.775834962962963
9000,1,100,0.01,0.71,0.777059802469136,0.777059703703704
9000,1,100,0.03,0.707,0.781367654320988,0.781367604938272
9000,1,100,0.05,0.717666666666667,0.787121950617284,0.787121925925926
9000,1,100,0.07,0.710444444444444,0.783006913580247,0.783006864197531
9000,1,100,0.1,0.696555555555556,0.782867604938272,0.782867456790123
9000,1,200,0.005,0.709444444444444,0.778747827160494,0.778747802469136
9000,1,200,0.01,0.709,0.78055575308642,0.780555703703704
9000,1,200,0.03,0.715333333333333,0.784959111111111,0.784959061728395
9000,1,200,0.05,0.708888888888889,0.785612617283951,0.785612543209877
9000,1,200,0.07,0.722666666666667,0.790459358024691,0.790459308641975
9000,1,200,0.1,0.714777777777778,0.778795185185185,0.778795061728395
9000,1,300,0.005,0.705555555555556,0.77747,0.777469975308642
9000,1,300,0.01,0.714333333333333,0.784040913580247,0.784040839506173
9000,1,300,0.03,0.711888888888889,0.789682888888889,0.789682864197531
9000,1,300,0.05,0.719,0.790365135802469,0.790365086419753
9000,1,300,0.07,0.731666666666667,0.794561703703704,0.79456162962963
9000,1,300,0.1,0.554222222222222,0.734535456790123,0.734535407407407
9000,1,400,0.005,0.717444444444444,0.787021061728395,0.787020987654321
9000,1,400,0.01,0.721777777777778,0.79467212345679,0.794672098765432
9000,1,400,0.03,0.723333333333333,0.801568320987654,0.801568296296296
9000,1,400,0.05,0.719777777777778,0.792403703703704,0.792403654320988
9000,1,400,0.07,0.722777777777778,0.788829061728395,0.788829037037037
9000,1,400,0.1,0.738222222222222,0.802685185185185,0.802685135802469
9000,1,500,0.005,0.715888888888889,0.78799950617284,0.787999456790124
9000,1,500,0.01,0.723666666666667,0.798189407407407,0.798189382716049
9000,1,500,0.03,0.725444444444444,0.797835111111111,0.797835061728395
9000,1,500,0.05,0.731777777777778,0.792511728395062,0.792511703703704
9000,1,500,0.07,0.740888888888889,0.806232592592593,0.80623249382716
9000,1,500,0.1,0.740888888888889,0.791833975308642,0.79183387654321
